"index","signatures","pagenum","category","description"
"1","","","",""
"2","1r","1","Reeve’s Tale","Lines 4246-4283"
"3","1v","2","Reeve’s Tale","Lines 4284-4321."
"4","2r","3","Cook’s Tale","Lines 4322-4356"
"5","2v","4","Cook’s Tale","Lines 4357-4372"
"6","3r","5","Man of Law’s Tale","Lines 95-98 above the illumination, lines 99-105 would have been below"
"7","3v","6","Man of Law’s Tale","Lines 106-140"
"8","4r","7","Man of Law’s Tale","Lines 211-245"
"9","4v","8","Man of Law’s Tale","Lines 245-280"
"10","5r","9","Man of Law’s Tale","Lines 316-350"
"11","5v","10","Man of Law’s Tale","Lines 1051-1085"
"12","6r","11","Man of Law’s Tale","Lines 1086-1120"
"13","6v","12","Squire’s Tale","Lines 57-94"
"14","7r","13","Squire’s Tale","Lines 95-132"
"15","7v","14","Canon’s Yeoman’s Tale","Lines 1091-1128"
"16","8r","15","Canon’s Yeoman’s Tale","Lines 1129-1167"
"17","8v","16","Canon’s Yeoman’s Tale",""
"18","9r","17","Tale of Sir Thopas","Lines 846-883"
"19","9v","18","Tale of Sir Thopas","Lines 884-922"
"20","10r","19","Parson’s Tale",""
"21","10v","20","Parson’s Tale",""
"22","11r","21","Parson’s Tale",""
"23","11v","22","Parson’s Tale",""
