index,signatures,pagenum,category,description
1,endpaper,,flyleaf,
2,free endpaper,,flyleaf,
3,flyleaf,,flyleaf,
4,flyleaf,,flyleaf,
5,flyleaf,,flyleaf,
6,[insertion]r,,original print,
7,[insertion]v,,original print,
8,[π]r,,title page,
9,[πv]v,,preliminary,
10,A[1]r,,preliminary,
11,A[1]v,,preliminary,
12,[insertion]r,,recycled image,
13,[insertion]v,,recycled image,
14,[A2]r,,preliminary,
15,[A2]v,,preliminary,
16,¶[1]r,,preliminary,
17,¶[1]v,,preliminary,
18,[¶2]r,,preliminary,
19,[¶2]v,,preliminary,
20,¶¶[1]r,,preliminary,
21,¶¶[1]v,,preliminary,
22,[¶¶2]r,,preliminary,
23,[¶¶2]v,,preliminary,
24,¶¶¶[1]r,,preliminary,
25,¶¶¶[1]v,,preliminary,
26,[¶¶¶2]r,,preliminary,
27,[¶¶¶2]v,,preliminary,
28,B[1]r,,preliminary,
29,B[1]v,,preliminary,
30,B2r,,preliminary,
31,B2v,,preliminary,recycled image
32,B3r,,preliminary,recycled image
33,B3v,,preliminary,recycled image
34,[B4]r,,preliminary,recycled image
35,[B4]v,,commendatory verse,
36,[B5]r,,commendatory verse,
37,[B5]v,,commendatory verse,
38,(c)[1]r,,commendatory verse,
39,(c)[1]v,,commendatory verse,
40,[(c)2]r,,commendatory verse,
41,[(c)2]v,,commendatory verse,
42,(d)[1]r,,commendatory verse,
43,(d)[1]v,,commendatory verse,
44,[B6]r,,commendatory verse,
45,[B6]v,,commendatory verse,
46,C[1]r,,commendatory verse,
47,C[1]v,,commendatory verse,
48,C2r,,commendatory verse,
49,C2v,,commendatory verse,
50,C3r,,commendatory verse,
51,C3v,,commendatory verse,
52,[C4]r,,commendatory verse,
53,[C4]v,,commendatory verse,
54,[C5]r,,commendatory verse,
55,[C5]v,,commendatory verse,
56,[C6]r,,commendatory verse,
57,[C6]v,,commendatory verse,
58,[insertion]r,,original print,
59,[insertion]v,,original print,
60,D[1]r,1,poetry (English),
61,D[1]v,2,poetry (English),
62,B2r,3,poetry (English),
63,B2v,4,poetry (English),
64,D3r,5,poetry (English),
65,D3v,6,poetry (English),
66,[D4]r,7,poetry (English),
67,[D4]v,8,poetry (English),
68,[D5]r,9,poetry (English),
69,[D5]v,10,poetry (English),
70,[D6]r,11,poetry (English),
71,[D6]v,12,poetry (English),
72,E[1]r,13,poetry (English),
73,E[1]v,14,poetry (English),pattern poem
74,E2r,15,preliminary,
75,E2v,16,preliminary,
76,E3r,17,preliminary,
77,E3v,18,preliminary,
78,[E4]r,19,preliminary,
79,[E4]v,20,preliminary,
80,[E5]r,21,preliminary,
81,[E5]v,22,preliminary,
82,[E6]r,23,poetry (English),
83,[E6]v,24,poetry (English),
84,[insertion]r,,recycled image,
85,[insertion]v,,recycled image,
86,F[1]r,25,poetry (English),
87,F[1]v,26,poetry (English),
88,E2r,27,poetry (English),
89,E2v,28,poetry (English),
90,F3r,29,poetry (English),
91,F3v,30,poetry (English),
92,[F4]r,31,poetry (English),
93,[F4]v,32,poetry (English),
94,[F5]r,33,poetry (English),
95,[F5]v,34,poetry (English),
96,[F6]r,35,poetry (English),
97,[F6]v,36,poetry (English),
98,[insertion]r,,original print,
99,[insertion]v,,original print,
100,G[1]r,37,poetry (English),
101,G[1]v,38,poetry (English),
102,G2r,39,poetry (English),
103,G2v,40,poetry (English),
104,G3r,41,poetry (English),
105,G3v,42,poetry (English),
106,[G4]r,43,poetry (English),
